%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1457887074145381059,0.0,0.00148328137584,0.0,0.0,0.0,0.0,0.0
1457887074145454175,0.0,0.00148328137584,0.0,0.0,0.0,0.0,0.0
1457887074147501823,0.0,0.00148328137584,0.0,0.0,0.0,0.0,0.0
1457887074149501863,0.0,0.00148328137584,0.0,0.0,0.0,0.0,0.0
1457887074151524188,0.0,0.00148328137584,0.0,0.0,0.0,0.0,0.0
1457887074153617124,0.0,0.804927527905,0.0,0.0,0.0,0.0,0.0
1457887074155454536,0.0,1.1118158102,0.0,0.0,0.0,0.0,0.0
1457887074157509734,0.0,1.2290366888,0.0,0.0,0.0,0.0,0.0
1457887074159513551,0.0,1.27381110191,0.0,0.0,0.0,0.0,0.0
1457887074161516091,0.0,1.29091346264,0.0,0.0,0.0,0.0,0.0
1457887074163530676,0.0,1.2974460125,0.0,0.0,0.0,0.0,0.0
1457887074165526633,0.0,1.29994118214,0.0,0.0,0.0,0.0,0.0
1457887074167524165,0.0,1.30089426041,0.0,0.0,0.0,0.0,0.0
1457887074169519652,0.0,1.30125832558,0.0,0.0,0.0,0.0,0.0
1457887074171511780,0.0,1.30139732361,0.0,0.0,0.0,0.0,0.0
1457887074173536380,0.0,1.30145049095,0.0,0.0,0.0,0.0,0.0
1457887074175516606,0.0,1.30147075653,0.0,0.0,0.0,0.0,0.0
1457887074177501586,0.0,1.30147850513,0.0,0.0,0.0,0.0,0.0
1457887074179545704,0.0,1.30148148537,0.0,0.0,0.0,0.0,0.0
1457887074181485977,0.0,1.30148255825,0.0,0.0,0.0,0.0,0.0
1457887074183514449,0.0,1.30148303509,0.0,0.0,0.0,0.0,0.0
1457887074185517132,0.0,1.29530286789,0.0,0.0,0.0,0.0,0.0
1457887074187539173,0.0,1.29294216633,0.0,0.0,0.0,0.0,0.0
1457887074189496067,0.0,1.29204046726,0.0,0.0,0.0,0.0,0.0
1457887074191551067,0.0,1.29169607162,0.0,0.0,0.0,0.0,0.0
1457887074193579992,0.0,1.29156458378,0.0,0.0,0.0,0.0,0.0
1457887074195569363,0.0,1.29151427746,0.0,0.0,0.0,0.0,0.0
1457887074197543313,0.0,1.29149508476,0.0,0.0,0.0,0.0,0.0
1457887074199578496,0.0,1.291487813,0.0,0.0,0.0,0.0,0.0
1457887074201475626,0.0,1.29148495197,0.0,0.0,0.0,0.0,0.0
1457887074203513503,0.0,1.29148387909,0.0,0.0,0.0,0.0,0.0
1457887074205479365,0.0,1.29148352146,0.0,0.0,0.0,0.0,0.0
1457887074207488926,0.0,1.29148340225,0.0,0.0,0.0,0.0,0.0
1457887074209487823,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074211477196,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074213517074,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074215508003,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074217515980,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074219568587,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074221496586,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074223572519,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074225520173,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074227493842,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074229544852,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074231497804,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074233492296,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074235556467,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074237520826,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
1457887074239449896,0.0,1.29148328304,0.0,0.0,0.0,0.0,0.0
